INFO 2025-09-05 15:46:37,457 basehttp 16672 10372 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:37,639 basehttp 16672 16772 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:37,799 basehttp 16672 10372 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:38,399 basehttp 16672 10372 "POST /api/token/verify/ HTTP/1.1" 200 2
INFO 2025-09-05 15:46:38,479 basehttp 16672 16772 "GET /api/user/profile/ HTTP/1.1" 200 98
INFO 2025-09-05 15:46:38,590 basehttp 16672 10372 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:38,741 basehttp 16672 16772 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:46:55,614 basehttp 16672 16676 "OPTIONS /api/cart/clear/ HTTP/1.1" 200 0
WARNING 2025-09-05 15:46:55,649 log 16672 16676 Not Found: /api/cart/clear/
WARNING 2025-09-05 15:46:55,651 basehttp 16672 16676 "DELETE /api/cart/clear/ HTTP/1.1" 404 16389
INFO 2025-09-05 15:47:21,775 basehttp 16672 16896 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:47:21,933 basehttp 16672 16896 "GET /api/products/ HTTP/1.1" 200 5316
INFO 2025-09-05 15:49:24,967 basehttp 16672 2680 "GET /admin/shop/notification/2/change/ HTTP/1.1" 200 19844
INFO 2025-09-05 15:49:25,064 basehttp 16672 2680 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-05 15:52:53,783 basehttp 16672 10884 "POST /api/admin_token/ HTTP/1.1" 200 502
INFO 2025-09-05 15:52:54,911 basehttp 16672 10884 "GET /api/admin/dashboard-stats/ HTTP/1.1" 200 77
INFO 2025-09-05 15:52:54,944 basehttp 16672 344 "GET /api/admin/dashboard-stats/ HTTP/1.1" 200 77
WARNING 2025-09-05 15:52:54,984 log 16672 344 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:52:54,987 basehttp 16672 344 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
WARNING 2025-09-05 15:52:54,998 log 16672 344 Unauthorized: /api/notifications/
WARNING 2025-09-05 15:52:54,999 basehttp 16672 344 "GET /api/notifications/?limit=5 HTTP/1.1" 401 183
INFO 2025-09-05 15:52:55,106 basehttp 16672 344 "GET /api/orders/?limit=5 HTTP/1.1" 200 396
INFO 2025-09-05 15:52:55,139 basehttp 16672 10884 "GET /api/orders/?limit=5 HTTP/1.1" 200 396
